"Código (SKU)";"Descrição";"Estoque físico"
"RCP20H1401PRI";"CAPA RETROV GOL 99/08 LD PRIMER";"0,00"
"RCP20M2001L";"CORPO INT. LISO GOL GIII LD";"0,00"
"RCP20M2101L";"CORPO INT. LISO GOL GIII LE";"157,00"
"RCP20N4466PRI";"CAPA RETROV FOX 03> LD PRIMER";"0,00"
"RCP20N4566PRI";"CAPA RETROV FOX 03> LE PRIMER";"0,00"
"RCP20Q3866PRI";"CAPA RETROV VECTRA 06/08 LD PRIMER";"0,00"
"RCP20Q3966PRI";"CAPA RETROV VECTRA 06/08 LE PRIMER";"0,00"
"RCP20R8001PRI";"CAPA RETROV GOLF 07> LD PRIMER";"0,00"
"RCP20R8101PRI";"CAPA RETROV GOLF 07> LE PRIMER";"0,00"
"RCP20T2466PRI";"CAPA RETROV VECTRA 05> LD PRIMER";"0,00"
"RCP20T2566PRI";"CAPA RETROV VECTRA 05> LE PRIMER";"0,00"
"RCP20T4253";"ARO RETROV LINHA VOLKS LD SF/PISCA METAGAL";"282,00"
"RCP20T4353";"ARO RETROV LINHA VOLKS LE SF/PISCA METAGAL";"0,00"
"RCP20T4653";"ARO RETROV LINHA VOLKS LD CF/PISCA METAGAL";"499,00"
"RCP20T4753";"ARO RETROV LINHA VOLKS LE CF/PISCA METAGAL";"0,00"
"RCP20T5266PRI";"CAPA RETROV CITROEN AIR CROSS 11> LD PRIMER";"85,00"
"RCP20T5366PRI";"CAPA RETROV CITROEN AIR CROSS 11> LE PRIMER";"135,00"
"RCP20U0666CR";"CAPA RETROV RANGER 12> LD S/PISCA CROMADA";"0,00"
"RCP20U0766CR";"CAPA RETROV RANGER 12> LE S/PISCA CROMADA";"0,00"
"RCP20U1066CR";"CAPA RETROV RANGER 12> LD C/PISCA CROMADA";"0,00"
"RCP20U1166CR";"CAPA RETROV RANGER 12> LE C/PISCA CROMADA";"0,00"
"RCP20U6666PRI";"CAPA RETROV RANGER 12> LD PRIMER";"195,00"
"RCP20V1666PRI";"CAPA RETROV PALIO 11> 2P (ECONOMY) LD PRIMER";"0,00"
"RCP20V1766PRI";"CAPA RETROV PALIO 11> 2P (ECONOMY) LE PRIMER";"0,00"
"RCP20V6266";"MOTOR ELET RETROV EXT HILUX 13> LD";"0,00"
"RCP20V6366";"MOTOR ELETR RETROV EXT HILUX 13> LE";"0,00"
"RCP20V9666PRI";"CAPA RETROV UNO 10> LD PRIMER";"95,00"
"RCP20V9766PRI";"CAPA RETROV UNO 10> LE PRIMER";"0,00"
"RCP20W4307";"BASE RETROV CAMINHAO VW CONSTELATION SUPERIOR LE";"0,00"
"RCP20W4407";"BASE RETROV CAMINHAO VW CONSTELATION SUPERIOR LD";"0,00"
"RCP20X1766PRI";"CAPA RETROV UNO VIVACE 14> CR LE C/PISCA PRIMER";"0,00"
"RCP20X1866PRI";"CAPA RETROV UNO VIVACE 14> CR LD C/PISCA PRIMER";"95,00"
"RCP20X3066CR";"CAPA RETROV TORO 17> LD CROMADA";"0,00"
"RCP20X3166CR";"CAPA RETROV TORO 17> LE CROMADA";"369,00"
"RCP20Y1166PRI";"CAPA RETROV GOLF 15> LE PRIMER";"0,00"
"RCP20Y1266PRI";"CAPA RETROV GOLF 15> LE PRIMER";"0,00"
